Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
homer_id,homer_screening_form,,text,Record ID,,,,,,,,,,,,,,,
scr_date,homer_screening_form,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
scr_examiner,homer_screening_form,,text,Examiner Name,,,,,,,,,,,,,,,
scr_inc_heading,homer_screening_form,Inclusion Criteria,descriptive,Inclusion Criteria Checklist,,,,,,,,,,,,,,,
scr_inc_age,homer_screening_form,,yesno,Age between 18 and 80 years,,,,,,,,RH,,,,,,
scr_inc_stroke,homer_screening_form,,yesno,Supratentorial stroke leading to upper limb weakness (FMA <50),,,,,,,,RH,,,,,,
scr_inc_duration,homer_screening_form,,yesno,Post-stroke duration between 30 to 90 days,,,,,,,,RH,,,,,,
scr_inc_moca,homer_screening_form,,yesno,Adequate cognitive abilities (MoCA score >=24),,,,,,,,RH,,,,,,
scr_inc_vision,homer_screening_form,,yesno,Functional vision,,,,,,,,RH,,,,,,
scr_inc_residence,homer_screening_form,,yesno,Discharged and residing within a 100 km radius of the hospital,,,,,,,,RH,,,,,,
scr_inc_pluto,homer_screening_form,,yesno,"PLUTO criteria: A minimum of 10 degrees of active range of motion with reversal of movement in any one of the mechanisms (WFE or WURD or FPS, or 2 cm on the HOC assessment)",,,,,,,,RH,,,,,,
scr_inc_mars,homer_screening_form,,yesno,"MARS criteria: A minimum of 10 cm of active range of motion in medial/lateral movement of the arm or anterior/posterior movement of the elbow",,,,,,,,RH,,,,,,
scr_exc_heading,homer_screening_form,Exclusion Criteria,descriptive,Exclusion Criteria Checklist,,,,,,,,,,,,,,,
scr_exc_recurrent,homer_screening_form,,yesno,Recurrent or bilateral stroke,,,,,,,,RH,,,,,,
scr_exc_caregiver,homer_screening_form,,yesno,Absence of caregiver at home,,,,,,,,RH,,,,,,
scr_exc_therapy,homer_screening_form,,yesno,Receiving home or in-clinic therapy for upper limb,,,,,,,,RH,,,,,,
scr_exc_depression,homer_screening_form,,yesno,Clinically diagnosed depression,,,,,,,,RH,,,,,,
scr_exc_aphasia,homer_screening_form,,yesno,Global/Wernicke's Aphasia,,,,,,,,RH,,,,,,
scr_exc_psychiatric,homer_screening_form,,yesno,Psychiatric disorders,,,,,,,,RH,,,,,,
scr_exc_other_neuro,homer_screening_form,,yesno,Other conditions (Neurological/medical) contributing to upper limb impairment,,,,,,,,RH,,,,,,
scr_exc_musculoskeletal,homer_screening_form,,yesno,"Musculoskeletal complications of upper limb, such as periarthritis, shoulder subluxation, CRPS, contracture, and deformity",,,,,,,,RH,,,,,,
scr_exc_pain,homer_screening_form,,yesno,Pain in the upper limb limiting therapy (NPRS>5),,,,,,,,RH,,,,,,
scr_exc_spasticity,homer_screening_form,,yesno,Severe spasticity (MAS>=3),,,,,,,,RH,,,,,,
scr_summary_heading,homer_screening_form,Eligibility Summary,descriptive,Eligibility Summary,,,,,,,,,,,,,,,
scr_included,homer_screening_form,,yesno,Included,,,,,,,,RH,,,,,,
scr_exclude_reason,homer_screening_form,,notes,"If No, Specify",,,,,,,"[scr_included] = '0'",,RH,,,,
