Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,,
homer_id,caregiver_strain_index,,text,Record ID,,,,,,,,,,,,,,,
csi_date,caregiver_strain_index,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
csi_examiner,caregiver_strain_index,,text,Examiner Name,,,,,,,,,,,,,,,
csi_header,caregiver_strain_index,CAREGIVER STRAIN INDEX (CSI),descriptive,"I am going to read a list of things that other people have found to be difficult in helping out after a relative or friend comes home from the hospital. Would you tell me whether any of these apply to you? <b>(Give examples)</b>",,,,,,,,,,,,,
csi_1_sleep,caregiver_strain_index,,yesno,"1. Sleep is disturbed (e.g., because . . . is in and out of bed or wanders around at night)",,,,,,,,RH,,,,,
csi_2_inconvenient,caregiver_strain_index,,yesno,"2. It is inconvenient (e.g., because helping takes so much time or it’s a long drive over to help)",,,,,,,,RH,,,,,
csi_3_physical,caregiver_strain_index,,yesno,"3. It is a physical strain (e.g., because of lifting in and out of a chair; effort or concentration is required)",,,,,,,,RH,,,,,
csi_4_confining,caregiver_strain_index,,yesno,"4. It is confining (e.g., helping restricts free time or cannot go visiting)",,,,,,,,RH,,,,,
csi_5_family,caregiver_strain_index,,yesno,"5. There have been family adjustments (e.g., because helping has disrupted routine; there has been no privacy)",,,,,,,,RH,,,,,
csi_6_plans,caregiver_strain_index,,yesno,"6. There have been changes in personal plans (e.g., had to turn down a job; could not go on vacation)",,,,,,,,RH,,,,,
csi_7_emotional,caregiver_strain_index,,yesno,"7. There have been emotional adjustments (e.g., because of severe arguments)",,,,,,,,RH,,,,,
csi_8_behavior,caregiver_strain_index,,yesno,"8. Some behavior is upsetting (e.g., because of incontinence; . . . has trouble remembering things; or . . . accuses people of taking things)",,,,,,,,RH,,,,,
csi_9_changed,caregiver_strain_index,,yesno,"9. It is upsetting to find . . . has changed so much from his/her former self (e.g., he/she is a different person than he/she used to be)",,,,,,,,RH,,,,,
csi_10_work,caregiver_strain_index,,yesno,"10. There have been work adjustments (e.g., because of having to take time off)",,,,,,,,RH,,,,,
csi_11_financial,caregiver_strain_index,,yesno,11. It is a financial strain,,,,,,,,RH,,,,,
csi_12_overwhelmed,caregiver_strain_index,,yesno,"12. Feeling completely overwhelmed (e.g., because of worry about . . . ; concerns about how you will manage)",,,,,,,,RH,,,,,,
csi_total_score,caregiver_strain_index,,calc,CSI Total Score (Count yes responses),"[csi_1_sleep] + [csi_2_inconvenient] + [csi_3_physical] + [csi_4_confining] + [csi_5_family] + [csi_6_plans] + [csi_7_emotional] + [csi_8_behavior] + [csi_9_changed] + [csi_10_work] + [csi_11_financial] + [csi_12_overwhelmed]",,,,,,,,,,,,,
csi_interpretation,caregiver_strain_index,,descriptive,"<b>Note</b>: Any positive answer may indicate a need for intervention in that area. A score of 7 or higher indicates a high level of stress.",,,,,,,,,,,,,
