Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,,
homer_id,montreal_cognitive_assessment,,text,Record ID,,,,,,,,,,,,,,,
moca_date,montreal_cognitive_assessment,,text,Date of Assessment,,,date_ymd,,,,,,,,,,,
moca_header,montreal_cognitive_assessment,MONTREAL COGNITIVE ASSESSMENT (MoCA),descriptive,MONTREAL COGNITIVE ASSESSMENT (MoCA),,,,,,,,,,,,,
moca_trail,montreal_cognitive_assessment,1. Visuospatial / Executive,radio,Alternating Trail Making (1-A-2-B-3-C-4-D-5-E),"0, 0 - Incorrect | 1, 1 - Correct sequence",,,,,,,,RH,,,,,
moca_cube,montreal_cognitive_assessment,,radio,"Copy Bed (previously Cube/Bed)","0, 0 - Incorrect | 1, 1 - Accurate 3D reproduction",,,,,,,,RH,,,,,
moca_clock_contour,montreal_cognitive_assessment,,radio,Clock Drawing - Contour,"0, 0 - Incorrect | 1, 1 - Correct contour",,,,,,,,RH,,,,,
moca_clock_numbers,montreal_cognitive_assessment,,radio,Clock Drawing - Numbers,"0, 0 - Incorrect | 1, 1 - All numbers correct",,,,,,,,RH,,,,,
moca_clock_hands,montreal_cognitive_assessment,,radio,"Clock Drawing - Hands (Five past ten)","0, 0 - Incorrect | 1, 1 - Correct time",,,,,,,,RH,,,,,
moca_animal_horse,montreal_cognitive_assessment,2. Naming,radio,Name Horse,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_animal_tiger,montreal_cognitive_assessment,,radio,Name Tiger,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_animal_duck,montreal_cognitive_assessment,,radio,Name Duck,"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
moca_memory_info,montreal_cognitive_assessment,3. Memory,descriptive,"Trial 1 & 2: Registering the words LEG, COTTON, SCHOOL, TOMATO, WHITE. No points are awarded here; they are for the 5-minute delayed recall task.",,,,,,,,,,,,,
moca_digit_forward,montreal_cognitive_assessment,4. Attention,radio,Digit Span Forward (2-4-8-1-5),"0, 0 - Incorrect | 1, 1 - Correct",,,,,,,,RH,,,,,
